PPvec,blockVec,stimLevelVec,sidVec,chanVec
8.27283577607463e-05,1,1500,"08b13",1
5.17031969337319e-05,1,1500,"08b13",2
3.60873634473335e-05,1,1500,"08b13",3
1.78193339842442e-05,1,1500,"08b13",4
6.93126015646654e-05,1,1500,"08b13",5
1.04244121629307e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
NaN,1,1500,"08b13",3
NaN,1,1500,"08b13",4
1.64266256516821e-05,1,1500,"08b13",5
0.000126753684217166,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
4.34804697654938e-05,1,1500,"08b13",3
2.66548929450527e-05,1,1500,"08b13",4
6.89567045499001e-05,1,1500,"08b13",5
5.75613956919658e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
7.24530166593005e-06,1,1500,"08b13",3
3.99169776710398e-05,1,1500,"08b13",4
5.28316759828349e-05,1,1500,"08b13",5
6.3386575901379e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.99387009050612e-05,1,1500,"08b13",1
5.17247602237149e-05,1,1500,"08b13",2
NaN,1,1500,"08b13",3
6.37893366330012e-05,1,1500,"08b13",4
9.00646735173517e-05,1,1500,"08b13",5
1.14170384670042e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.65509656520169e-05,1,1500,"08b13",1
7.87317898241538e-05,1,1500,"08b13",2
4.22898682369901e-05,1,1500,"08b13",3
9.43100501715037e-05,1,1500,"08b13",4
1.78484753946109e-05,1,1500,"08b13",5
1.92613460397327e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
5.00261757424572e-05,1,1500,"08b13",2
2.89582190480614e-05,1,1500,"08b13",3
1.71897713694381e-05,1,1500,"08b13",4
4.56068844762171e-05,1,1500,"08b13",5
3.44154035067624e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
4.72976493841927e-05,1,1500,"08b13",2
2.42380989014322e-05,1,1500,"08b13",3
1.44167008625302e-05,1,1500,"08b13",4
2.1269449147619e-05,1,1500,"08b13",5
0.000134643292438229,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.35340046890256e-05,1,1500,"08b13",1
2.1423280198451e-05,1,1500,"08b13",2
4.42443709985956e-05,1,1500,"08b13",3
1.20580656362567e-05,1,1500,"08b13",4
5.97520807875676e-05,1,1500,"08b13",5
5.57837270669156e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.94896385227174e-05,1,1500,"08b13",1
NaN,1,1500,"08b13",2
NaN,1,1500,"08b13",3
1.06683912268081e-06,1,1500,"08b13",4
0.000100513522011675,1,1500,"08b13",5
0.000187853794410165,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.8872640615592e-05,1,1500,"08b13",1
1.68990815737674e-05,1,1500,"08b13",2
1.01721313836443e-05,1,1500,"08b13",3
5.10610218539195e-05,1,1500,"08b13",4
7.16359264506102e-05,1,1500,"08b13",5
2.89316416766841e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
4.26689787384413e-05,1,1500,"08b13",2
1.49458172084941e-05,1,1500,"08b13",3
3.77445438949836e-05,1,1500,"08b13",4
7.20866958461996e-05,1,1500,"08b13",5
0.000108828406216038,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.97481358611055e-05,1,1500,"08b13",1
3.28009059074293e-05,1,1500,"08b13",2
6.56274817427392e-05,1,1500,"08b13",3
2.30009501702605e-05,1,1500,"08b13",4
3.41728530883912e-05,1,1500,"08b13",5
8.98424387657184e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
6.6532387791209e-05,1,1500,"08b13",1
9.25844803583675e-05,1,1500,"08b13",2
3.15953728048518e-05,1,1500,"08b13",3
NaN,1,1500,"08b13",4
6.47987555760546e-05,1,1500,"08b13",5
1.798204405679e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.81554250687136e-05,1,1500,"08b13",1
1.86719640082861e-05,1,1500,"08b13",2
2.23307643725705e-06,1,1500,"08b13",3
2.35697072688935e-05,1,1500,"08b13",4
4.64603369986129e-05,1,1500,"08b13",5
0.000107692894276113,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
7.23045098080677e-05,1,1500,"08b13",1
5.60746602022888e-05,1,1500,"08b13",2
1.70050686583571e-05,1,1500,"08b13",3
6.26418683981394e-06,1,1500,"08b13",4
0.000103402481864463,1,1500,"08b13",5
6.36516656557914e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
2.60785600753666e-05,1,1500,"08b13",2
6.44886111200813e-06,1,1500,"08b13",3
1.96790595195082e-05,1,1500,"08b13",4
5.73436879813975e-05,1,1500,"08b13",5
5.72315897768527e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.08892821063825e-05,1,1500,"08b13",1
4.70607437496936e-05,1,1500,"08b13",2
3.12550482836096e-05,1,1500,"08b13",3
4.49693848557054e-05,1,1500,"08b13",4
3.27126845932493e-05,1,1500,"08b13",5
2.7445158005369e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.55244602920937e-06,1,1500,"08b13",1
3.70321080548791e-05,1,1500,"08b13",2
3.11591506259151e-05,1,1500,"08b13",3
1.60758113303225e-05,1,1500,"08b13",4
4.35757831396116e-05,1,1500,"08b13",5
2.92566050507736e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.3807642558205e-05,1,1500,"08b13",1
6.86004340701623e-05,1,1500,"08b13",2
3.53088678659691e-06,1,1500,"08b13",3
5.97579546548609e-05,1,1500,"08b13",4
3.19398961675835e-05,1,1500,"08b13",5
1.6748057089296e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.23794731565336e-05,1,1500,"08b13",1
5.86765807554748e-05,1,1500,"08b13",2
3.2519985296764e-05,1,1500,"08b13",3
4.58327396302902e-05,1,1500,"08b13",4
7.85364597481817e-05,1,1500,"08b13",5
4.77135426847997e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.38812580423248e-05,1,1500,"08b13",1
1.81118104274826e-05,1,1500,"08b13",2
2.38958504880059e-05,1,1500,"08b13",3
5.20166516398458e-05,1,1500,"08b13",4
3.11228604655485e-05,1,1500,"08b13",5
0.00042020181542027,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.51693605062686e-05,1,1500,"08b13",1
3.95587842469145e-05,1,1500,"08b13",2
1.80331519095912e-05,1,1500,"08b13",3
NaN,1,1500,"08b13",4
1.7359178677403e-05,1,1500,"08b13",5
0.00027647331714096,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.53366757200672e-05,1,1500,"08b13",1
2.75220421045906e-05,1,1500,"08b13",2
8.97279339173831e-05,1,1500,"08b13",3
NaN,1,1500,"08b13",4
NaN,1,1500,"08b13",5
8.58525922601105e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
2.88170028379472e-05,1,1500,"08b13",2
5.75773726477213e-05,1,1500,"08b13",3
1.07770954176641e-05,1,1500,"08b13",4
8.74794768843316e-05,1,1500,"08b13",5
3.90974823404579e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.64352152896109e-06,1,1500,"08b13",1
2.7660741727557e-05,1,1500,"08b13",2
NaN,1,1500,"08b13",3
7.14936861581629e-05,1,1500,"08b13",4
5.63546205726458e-05,1,1500,"08b13",5
0.000307815472602114,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.28256054498166e-05,1,1500,"08b13",1
5.17459150838013e-05,1,1500,"08b13",2
6.71919718504579e-05,1,1500,"08b13",3
4.45806161792656e-05,1,1500,"08b13",4
7.19915605409384e-05,1,1500,"08b13",5
0.000104368367637958,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
7.78287134486397e-05,1,1500,"08b13",1
6.58925057073585e-05,1,1500,"08b13",2
4.7447310735924e-05,1,1500,"08b13",3
6.39650333786939e-05,1,1500,"08b13",4
7.78362044156625e-05,1,1500,"08b13",5
8.60186421534521e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.03342244706187e-05,1,1500,"08b13",1
5.02847826074139e-05,1,1500,"08b13",2
3.20435083651538e-05,1,1500,"08b13",3
2.84727134371383e-05,1,1500,"08b13",4
3.0825797724809e-05,1,1500,"08b13",5
4.56434141294477e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
7.72684530081248e-05,1,1500,"08b13",1
0.000114246444975309,1,1500,"08b13",2
6.52526065776082e-05,1,1500,"08b13",3
2.74185238079941e-05,1,1500,"08b13",4
9.82908033469509e-05,1,1500,"08b13",5
0.000100474493289431,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.83394167783379e-05,1,1500,"08b13",1
4.28892806795954e-05,1,1500,"08b13",2
9.72571064267945e-06,1,1500,"08b13",3
4.8048967073802e-05,1,1500,"08b13",4
3.12984978572012e-05,1,1500,"08b13",5
1.32276997927047e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.28193728539881e-06,1,1500,"08b13",1
4.67909220138946e-05,1,1500,"08b13",2
5.50336726890994e-06,1,1500,"08b13",3
1.78369934666691e-05,1,1500,"08b13",4
4.94903762073217e-05,1,1500,"08b13",5
NaN,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.62623096281456e-05,1,1500,"08b13",1
6.10258598285568e-05,1,1500,"08b13",2
6.11569462225404e-05,1,1500,"08b13",3
3.34411409887158e-05,1,1500,"08b13",4
4.61486485281684e-05,1,1500,"08b13",5
4.59761908190364e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.57489361778943e-05,1,1500,"08b13",1
6.19635989135124e-05,1,1500,"08b13",2
1.93540444481944e-05,1,1500,"08b13",3
NaN,1,1500,"08b13",4
3.48742093357735e-05,1,1500,"08b13",5
NaN,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.30991457919342e-06,1,1500,"08b13",1
5.71037106151245e-05,1,1500,"08b13",2
3.90908985328481e-05,1,1500,"08b13",3
4.61761717231257e-05,1,1500,"08b13",4
3.37157294709755e-05,1,1500,"08b13",5
5.59812608023936e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.43934170891826e-05,1,1500,"08b13",1
1.17720758385808e-05,1,1500,"08b13",2
5.09686328542237e-05,1,1500,"08b13",3
4.9356745182129e-05,1,1500,"08b13",4
NaN,1,1500,"08b13",5
2.7026964666109e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.17332575301834e-05,1,1500,"08b13",1
5.38895055771473e-05,1,1500,"08b13",2
1.25315355745079e-05,1,1500,"08b13",3
1.1476910429167e-05,1,1500,"08b13",4
8.43782699111447e-05,1,1500,"08b13",5
0.000239515493856557,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.87888487361423e-05,1,1500,"08b13",1
3.5979302403838e-05,1,1500,"08b13",2
3.90959345370005e-05,1,1500,"08b13",3
2.96769222748249e-05,1,1500,"08b13",4
4.62583570051983e-05,1,1500,"08b13",5
6.91513764240454e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
9.56422261610312e-05,1,1500,"08b13",1
4.07649801871199e-05,1,1500,"08b13",2
3.7051817318507e-05,1,1500,"08b13",3
2.6109061005714e-05,1,1500,"08b13",4
7.0695226107598e-05,1,1500,"08b13",5
5.26521617085006e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.49836257112958e-05,1,1500,"08b13",1
3.96236731051815e-05,1,1500,"08b13",2
4.57207283491102e-06,1,1500,"08b13",3
1.5262541514539e-05,1,1500,"08b13",4
7.87370388479414e-05,1,1500,"08b13",5
2.63767465988994e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.61077223574602e-05,1,1500,"08b13",1
6.8318776307828e-05,1,1500,"08b13",2
3.56044751338509e-05,1,1500,"08b13",3
3.34883156756752e-05,1,1500,"08b13",4
3.11119898579893e-05,1,1500,"08b13",5
2.41876630189557e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.53898697551531e-05,1,1500,"08b13",1
8.96474012977297e-05,1,1500,"08b13",2
2.89432802658045e-05,1,1500,"08b13",3
9.86590072311453e-06,1,1500,"08b13",4
3.26208760184576e-05,1,1500,"08b13",5
1.83753996822665e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.08077129521074e-05,1,1500,"08b13",1
3.64455641007886e-05,1,1500,"08b13",2
4.75187111464639e-05,1,1500,"08b13",3
5.24994286672194e-05,1,1500,"08b13",4
2.59151544091918e-05,1,1500,"08b13",5
NaN,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.35989419855668e-05,1,1500,"08b13",1
6.91866941061201e-05,1,1500,"08b13",2
2.19942463114483e-05,1,1500,"08b13",3
2.20546186688427e-05,1,1500,"08b13",4
6.97784916411292e-05,1,1500,"08b13",5
9.52590390192463e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.08892997697827e-06,1,1500,"08b13",1
1.66135652931869e-05,1,1500,"08b13",2
9.77883576933047e-06,1,1500,"08b13",3
1.68151898611348e-05,1,1500,"08b13",4
2.56720966796993e-05,1,1500,"08b13",5
0.000295809045062117,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.09509069358824e-05,1,1500,"08b13",1
3.35324229796442e-05,1,1500,"08b13",2
1.96898587181706e-05,1,1500,"08b13",3
1.8796669725101e-05,1,1500,"08b13",4
3.05746504172042e-05,1,1500,"08b13",5
1.79038044353475e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.21127827966531e-05,1,1500,"08b13",1
4.22663307495712e-05,1,1500,"08b13",2
4.06058066085353e-05,1,1500,"08b13",3
3.01935742841869e-05,1,1500,"08b13",4
4.99260739937411e-05,1,1500,"08b13",5
0.000102078713684758,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.80885027087051e-06,1,1500,"08b13",1
6.95927302218883e-05,1,1500,"08b13",2
3.64158416690782e-05,1,1500,"08b13",3
2.34641412608453e-05,1,1500,"08b13",4
5.31577124549291e-05,1,1500,"08b13",5
6.68777096281669e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.90116760716439e-05,1,1500,"08b13",1
4.06629820366409e-05,1,1500,"08b13",2
5.32738472538884e-05,1,1500,"08b13",3
4.49760413347755e-05,1,1500,"08b13",4
1.40941695482754e-05,1,1500,"08b13",5
0.000122542454337214,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.14050266348005e-05,1,1500,"08b13",1
5.18251004517337e-05,1,1500,"08b13",2
2.99386341277735e-05,1,1500,"08b13",3
2.14778606403985e-05,1,1500,"08b13",4
8.26122716394995e-05,1,1500,"08b13",5
0.000163429457395061,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.12570023265217e-05,1,1500,"08b13",1
6.12276538542145e-05,1,1500,"08b13",2
3.91502371744025e-05,1,1500,"08b13",3
1.83786274673282e-05,1,1500,"08b13",4
4.00411418999586e-05,1,1500,"08b13",5
0.000147646473656493,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
5.27143048807085e-05,1,1500,"08b13",2
NaN,1,1500,"08b13",3
5.21383087641376e-05,1,1500,"08b13",4
2.92147181299491e-05,1,1500,"08b13",5
1.34173299820014e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.12629470052709e-05,1,1500,"08b13",1
5.84241849613907e-05,1,1500,"08b13",2
1.72357099609029e-05,1,1500,"08b13",3
3.48487866430193e-05,1,1500,"08b13",4
4.02686631408553e-05,1,1500,"08b13",5
0.000100228858175959,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.14942977169538e-05,1,1500,"08b13",1
6.03740130338589e-05,1,1500,"08b13",2
0.000100123816759113,1,1500,"08b13",3
2.11795805617459e-05,1,1500,"08b13",4
3.76977871370185e-05,1,1500,"08b13",5
4.048799702097e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.55084922360918e-05,1,1500,"08b13",1
7.05767079255098e-05,1,1500,"08b13",2
NaN,1,1500,"08b13",3
2.25437594851928e-05,1,1500,"08b13",4
NaN,1,1500,"08b13",5
NaN,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.09438318701886e-05,1,1500,"08b13",1
4.8447471945826e-05,1,1500,"08b13",2
2.98289724719558e-05,1,1500,"08b13",3
2.67077205617352e-05,1,1500,"08b13",4
4.92029916041037e-05,1,1500,"08b13",5
5.44500210957587e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.51419054191315e-05,1,1500,"08b13",1
3.56427307649379e-05,1,1500,"08b13",2
3.56040875417338e-05,1,1500,"08b13",3
1.29368629950965e-05,1,1500,"08b13",4
1.0405240615957e-05,1,1500,"08b13",5
3.20388463161882e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.59812159073058e-05,1,1500,"08b13",1
3.52550900219921e-05,1,1500,"08b13",2
2.48348954605002e-05,1,1500,"08b13",3
1.7446307781564e-05,1,1500,"08b13",4
NaN,1,1500,"08b13",5
8.45481951943423e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
7.03062322210575e-05,1,1500,"08b13",2
2.6299767819285e-05,1,1500,"08b13",3
0.000124973270825849,1,1500,"08b13",4
7.14386536884909e-05,1,1500,"08b13",5
1.47233525465701e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.78126776838139e-05,1,1500,"08b13",1
5.5433582992994e-05,1,1500,"08b13",2
2.69633740748578e-05,1,1500,"08b13",3
1.76042470597416e-05,1,1500,"08b13",4
2.91241416389888e-05,1,1500,"08b13",5
7.27097859635929e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.1309502249806e-05,1,2000,"08b13",1
5.13413295704017e-05,1,2000,"08b13",2
4.15153434650915e-05,1,2000,"08b13",3
4.00228999221159e-05,1,2000,"08b13",4
6.46689321564809e-05,1,2000,"08b13",5
0.000118177176001447,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
NaN,1,2000,"08b13",2
NaN,1,2000,"08b13",3
NaN,1,2000,"08b13",4
0.000103524085308585,1,2000,"08b13",5
NaN,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
NaN,1,2000,"08b13",2
4.94209525020325e-05,1,2000,"08b13",3
6.14674819207506e-05,1,2000,"08b13",4
8.21064373121706e-05,1,2000,"08b13",5
6.01024324469155e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
NaN,1,2000,"08b13",2
2.08764237125181e-05,1,2000,"08b13",3
1.73443472766009e-05,1,2000,"08b13",4
7.32986697980518e-05,1,2000,"08b13",5
7.75480418559296e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
4.93501253761457e-05,1,2000,"08b13",1
1.3300165747894e-05,1,2000,"08b13",2
NaN,1,2000,"08b13",3
1.32595161400114e-05,1,2000,"08b13",4
3.68569090832777e-05,1,2000,"08b13",5
0.000101711677444659,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
8.08843161075645e-06,1,2000,"08b13",1
3.44682108035176e-05,1,2000,"08b13",2
NaN,1,2000,"08b13",3
0.000104224903520567,1,2000,"08b13",4
0.000136775034775345,1,2000,"08b13",5
0.000384445997279563,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
4.27599033337345e-05,1,2000,"08b13",2
4.74624194157798e-05,1,2000,"08b13",3
3.78723460419335e-05,1,2000,"08b13",4
NaN,1,2000,"08b13",5
0.000100921710583015,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
4.05341870463787e-05,1,2000,"08b13",2
1.73983850629677e-05,1,2000,"08b13",3
7.56917535662783e-05,1,2000,"08b13",4
9.99694951976919e-05,1,2000,"08b13",5
0.000129319684015912,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
4.51462098797041e-05,1,2000,"08b13",2
1.05611829287812e-05,1,2000,"08b13",3
2.60995103303269e-05,1,2000,"08b13",4
6.14858810301953e-05,1,2000,"08b13",5
8.73977106322816e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
5.49691102655718e-05,1,2000,"08b13",1
9.60435196172056e-05,1,2000,"08b13",2
4.39869868406174e-05,1,2000,"08b13",3
8.49215168745327e-05,1,2000,"08b13",4
6.44830907845006e-05,1,2000,"08b13",5
8.72392006634025e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
2.18023250638828e-05,1,2000,"08b13",1
1.45058353364287e-06,1,2000,"08b13",2
2.75650813633668e-05,1,2000,"08b13",3
1.35613951325044e-05,1,2000,"08b13",4
NaN,1,2000,"08b13",5
0.000133155248849713,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
2.1774816978635e-05,1,2000,"08b13",1
4.32889472559233e-05,1,2000,"08b13",2
4.71136540239459e-05,1,2000,"08b13",3
NaN,1,2000,"08b13",4
0.000124785752903577,1,2000,"08b13",5
0.000129081841634051,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
2.40823774641705e-05,1,2000,"08b13",1
6.86343445677407e-05,1,2000,"08b13",2
2.07034204543156e-05,1,2000,"08b13",3
1.92706135660377e-05,1,2000,"08b13",4
7.03299366118843e-05,1,2000,"08b13",5
3.3827007274205e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
8.50406010269813e-05,1,2000,"08b13",1
5.34928756375197e-05,1,2000,"08b13",2
2.52738731764292e-05,1,2000,"08b13",3
2.54977026156676e-05,1,2000,"08b13",4
NaN,1,2000,"08b13",5
8.39818768985936e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
0.000133304614218277,1,2000,"08b13",1
3.80103761183732e-05,1,2000,"08b13",2
3.9531181643806e-05,1,2000,"08b13",3
2.04528413465088e-05,1,2000,"08b13",4
0.000113558056916477,1,2000,"08b13",5
2.15150483026011e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
1.941224225302e-05,1,2000,"08b13",1
1.95746493140906e-05,1,2000,"08b13",2
0.000153292287215811,1,2000,"08b13",3
1.56166343913477e-05,1,2000,"08b13",4
NaN,1,2000,"08b13",5
0.000292290747001225,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
8.79162998534548e-05,1,2000,"08b13",1
6.19814954191494e-05,1,2000,"08b13",2
7.00615886324401e-05,1,2000,"08b13",3
4.89799148857781e-05,1,2000,"08b13",4
6.10715024330889e-05,1,2000,"08b13",5
8.05465772575576e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
2.99027775717502e-05,1,2000,"08b13",1
8.05462300324424e-05,1,2000,"08b13",2
NaN,1,2000,"08b13",3
3.01733057892564e-05,1,2000,"08b13",4
8.53481663887542e-05,1,2000,"08b13",5
0.000155844357339417,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
1.79700961873154e-05,1,2000,"08b13",1
6.0924744300047e-05,1,2000,"08b13",2
4.12436215468057e-05,1,2000,"08b13",3
3.67466893775603e-05,1,2000,"08b13",4
2.72711889279257e-05,1,2000,"08b13",5
9.11188363456329e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
3.97942886097491e-05,1,2000,"08b13",1
2.60521216146346e-05,1,2000,"08b13",2
2.78009788974262e-05,1,2000,"08b13",3
NaN,1,2000,"08b13",4
NaN,1,2000,"08b13",5
0.000181648038626857,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
2.36474093016851e-05,1,2000,"08b13",1
3.95195751647749e-05,1,2000,"08b13",2
1.4483768167823e-05,1,2000,"08b13",3
3.30022107594201e-05,1,2000,"08b13",4
2.83789689371251e-05,1,2000,"08b13",5
1.71545642996478e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
6.57789142805322e-05,1,2000,"08b13",1
8.18958441471286e-05,1,2000,"08b13",2
NaN,1,2000,"08b13",3
5.03829226726113e-05,1,2000,"08b13",4
5.54865615085711e-05,1,2000,"08b13",5
6.45712446499154e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
1.16146841568093e-05,1,2000,"08b13",1
1.76849549383642e-05,1,2000,"08b13",2
1.44445042805533e-05,1,2000,"08b13",3
3.36045159899542e-05,1,2000,"08b13",4
3.8467223412543e-05,1,2000,"08b13",5
5.21925919096128e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
7.30588797196038e-05,1,2000,"08b13",1
3.87898447314227e-05,1,2000,"08b13",2
7.22767086249898e-06,1,2000,"08b13",3
6.62860307879699e-06,1,2000,"08b13",4
1.78673679578765e-05,1,2000,"08b13",5
6.3874034221194e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
3.26847142121742e-05,1,2000,"08b13",1
1.48411118569751e-05,1,2000,"08b13",2
NaN,1,2000,"08b13",3
NaN,1,2000,"08b13",4
2.56036022406925e-05,1,2000,"08b13",5
0.000221016965607994,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
