PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
4.32548344077217e-05,1,5500,"68574",1,0,1.76326773488804e-05
1.98157740485269e-05,1,5500,"68574",2,0,8.1765038231211e-06
2.01750539842981e-05,1,5500,"68574",3,0,8.5704905423985e-06
9.16931306400713e-05,1,5500,"68574",4,6.25866197837874e-05,2.33257108590125e-05
NaN,1,5500,"68574",5,NaN,NaN
NaN,1,5500,"68574",6,NaN,NaN
NaN,1,5500,"68574",7,0,1.62539098823612e-05
0.000139420586648126,1,5500,"68574",8,0,5.90473416348577e-05
3.98425131685246e-05,1,5500,"68574",1,0,1.14475821426552e-05
7.59137352675847e-05,1,5500,"68574",2,0,2.27167717038464e-05
8.51073016533698e-05,1,5500,"68574",3,0,2.49389108466376e-05
0.00010208770778156,1,5500,"68574",4,6.96200095827562e-05,4.00802067323983e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
4.74811752513048e-05,1,5500,"68574",7,0,1.89175725136828e-05
2.70410427980339e-05,1,5500,"68574",8,0,1.49070927067419e-05
NaN,1,5500,"68574",1,0,1.29630656008903e-05
NaN,1,5500,"68574",2,0,1.73433765251791e-05
NaN,1,5500,"68574",3,0,1.51524846456052e-05
NaN,1,5500,"68574",4,6.38809484173362e-05,2.79663299533881e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
4.26483148663186e-05,1,5500,"68574",7,0,2.20028763714132e-05
5.19991079758223e-05,1,5500,"68574",8,0,2.88960542179531e-05
4.99383578345645e-05,1,5500,"68574",1,0,2.6051639719769e-05
NaN,1,5500,"68574",2,0,1.84458956905961e-05
3.81920144420853e-05,1,5500,"68574",3,0,1.51482684578485e-05
9.40267805495578e-05,1,5500,"68574",4,6.59785216116418e-05,3.06220998796339e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.94578921595033e-05
NaN,1,5500,"68574",8,0,4.12172764118627e-05
2.41911615620446e-05,1,5500,"68574",1,0,7.57971285951466e-06
4.36014429178884e-05,1,5500,"68574",2,0,1.57929708069012e-05
5.96575635480727e-05,1,5500,"68574",3,0,2.1189924780911e-05
0.000123829185699779,1,5500,"68574",4,0.000115180755728775,4.99412400303836e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
3.31991848244813e-05,1,5500,"68574",7,0,1.77804980660334e-05
1.5698361899649e-05,1,5500,"68574",8,0,1.03980740672668e-05
3.96204277933706e-05,1,5500,"68574",1,0,1.83579655979771e-05
6.33884294575668e-05,1,5500,"68574",2,0,2.37732505031683e-05
6.91238264034486e-05,1,5500,"68574",3,0,2.78172188582589e-05
0.000253745049652963,1,5500,"68574",4,0.00011465233048195,8.58429071018095e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
0.00013890156418554,1,5500,"68574",7,0,4.76096205720888e-05
4.08646866403362e-05,1,5500,"68574",8,0,1.40594872138548e-05
NaN,1,5500,"68574",1,0,1.30675170281861e-05
NaN,1,5500,"68574",2,0,1.43684405699346e-05
4.50393009494325e-05,1,5500,"68574",3,0,1.35167625846427e-05
9.08046028262967e-05,1,5500,"68574",4,6.3686299231492e-05,2.32319956218864e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,2.73194132571312e-05
6.607270969425e-05,1,5500,"68574",8,0,4.26501012098692e-05
NaN,1,5500,"68574",1,0,1.53715267709606e-05
3.7741156078244e-05,1,5500,"68574",2,0,1.66496348012898e-05
5.10233487109942e-05,1,5500,"68574",3,0,1.66305619264773e-05
0.000105405076926421,1,5500,"68574",4,8.21889127431886e-05,2.61049624799659e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
3.7426320292448e-05,1,5500,"68574",7,0,2.54902563000577e-05
2.10413174491114e-05,1,5500,"68574",8,0,1.60319885630083e-05
NaN,1,5500,"68574",1,0,4.78095805038815e-05
NaN,1,5500,"68574",2,0,4.9807881784643e-05
NaN,1,5500,"68574",3,0,5.64498187812738e-05
NaN,1,5500,"68574",4,8.83821326332533e-05,6.13427477691096e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,2.47828408475268e-05
0.000513867524741003,1,5500,"68574",8,0,3.90354412044782e-05
NaN,1,5500,"68574",1,0,1.50404406221107e-05
NaN,1,5500,"68574",2,0,1.53530415006748e-05
NaN,1,5500,"68574",3,0,1.60400953203958e-05
NaN,1,5500,"68574",4,8.14123161263431e-05,2.89107194531999e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.24028395814311e-05
NaN,1,5500,"68574",8,0,1.23207189471489e-05
NaN,1,5500,"68574",1,0,1.96479991049255e-05
2.44451458007838e-05,1,5500,"68574",2,0,2.90471523193644e-05
3.4434451788375e-05,1,5500,"68574",3,0,4.1087812120392e-05
5.64652578337867e-05,1,5500,"68574",4,8.26222524910755e-05,4.56067575218424e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
7.59703151528222e-05,1,5500,"68574",7,0,4.73409532383708e-05
NaN,1,5500,"68574",8,0,2.77875682496025e-05
3.25699546209164e-05,1,5500,"68574",1,0,1.02874719268027e-05
NaN,1,5500,"68574",2,0,9.89756808423863e-06
3.99639432404453e-05,1,5500,"68574",3,0,1.15289144916864e-05
0.000100288783824898,1,5500,"68574",4,5.64964893618935e-05,4.2944676677635e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,7.66891998934985e-06
0.000102235908502866,1,5500,"68574",8,0,5.40172543601334e-05
NaN,1,5500,"68574",1,0,9.36934376038103e-06
NaN,1,5500,"68574",2,0,8.0226205328436e-06
NaN,1,5500,"68574",3,0,1.01959109893733e-05
NaN,1,5500,"68574",4,6.42934118622445e-05,2.58112697589405e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,7.19864954009391e-06
NaN,1,5500,"68574",8,0,6.36618534615447e-06
NaN,1,5500,"68574",1,0,1.74009473070896e-05
3.71728081962911e-05,1,5500,"68574",2,0,1.7537934536465e-05
3.79033013891579e-05,1,5500,"68574",3,0,1.29051396060972e-05
6.33381049615661e-05,1,5500,"68574",4,5.74038673750858e-05,1.87683259580282e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.62255281886844e-05
NaN,1,5500,"68574",8,0,1.19951486540388e-05
3.16421959080462e-05,1,5500,"68574",1,0,1.17875756870145e-05
3.19859706797463e-05,1,5500,"68574",2,0,1.4102269748327e-05
4.68228912914145e-05,1,5500,"68574",3,0,1.82682081494851e-05
9.68251972502195e-05,1,5500,"68574",4,9.13460387257198e-05,2.67763490746391e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
4.42715717884926e-05,1,5500,"68574",7,0,3.28367571488201e-05
4.11771341847441e-05,1,5500,"68574",8,0,1.90564405315582e-05
NaN,1,5500,"68574",1,0,8.17383300144859e-06
NaN,1,5500,"68574",2,0,1.13262854398655e-05
NaN,1,5500,"68574",3,0,1.39533162174188e-05
NaN,1,5500,"68574",4,8.80941870968271e-05,3.31625534014875e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.55975922126354e-05
NaN,1,5500,"68574",8,0,9.04586037830451e-06
NaN,1,5500,"68574",1,0,8.44396381342618e-06
1.79580901428054e-05,1,5500,"68574",2,0,1.0069196836858e-05
3.01940109779119e-05,1,5500,"68574",3,0,1.67784448440167e-05
0.000109450284584386,1,5500,"68574",4,7.95010323666755e-05,3.96462698876485e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,7.0218378077627e-06
NaN,1,5500,"68574",8,0,5.16893597135318e-06
2.16537796528006e-05,1,5500,"68574",1,0,3.18352869270932e-05
NaN,1,5500,"68574",2,0,3.5144307877799e-05
NaN,1,5500,"68574",3,0,3.21745397584433e-05
0.000100848052687235,1,5500,"68574",4,6.17813166154537e-05,4.26715129880653e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.31204230513962e-05
NaN,1,5500,"68574",8,0,6.51085034582748e-06
NaN,1,5500,"68574",1,0,1.2135131848528e-05
5.55354811662043e-05,1,5500,"68574",2,0,2.11614660206639e-05
6.06254939235018e-05,1,5500,"68574",3,0,2.20053862798729e-05
5.86268352586523e-05,1,5500,"68574",4,2.77052187789849e-05,1.78581327306747e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,3.31257703134002e-05
0.000181213843291016,1,5500,"68574",8,0,9.07985550985321e-05
NaN,1,5500,"68574",1,0,9.1960075474947e-06
NaN,1,5500,"68574",2,0,1.1180535668657e-05
3.44896619400562e-05,1,5500,"68574",3,0,9.9366971006204e-06
9.78772892574883e-05,1,5500,"68574",4,6.69213536765815e-05,2.50611079330983e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,2.0990048073525e-05
NaN,1,5500,"68574",8,0,4.76081803090171e-05
NaN,1,5500,"68574",1,0,2.14447662189879e-05
4.36649179370008e-05,1,5500,"68574",2,0,2.60489526355997e-05
5.28718982895492e-05,1,5500,"68574",3,0,2.61737554027845e-05
0.000110170335266065,1,5500,"68574",4,7.57669742468873e-05,3.06498950303828e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
3.85539263977495e-05,1,5500,"68574",7,0,2.29126979524455e-05
NaN,1,5500,"68574",8,0,1.55633240724002e-05
3.63161515993456e-05,1,5500,"68574",1,0,1.8751061627518e-05
4.47394694911486e-05,1,5500,"68574",2,0,2.28517038477907e-05
0.000107998367588087,1,5500,"68574",3,0,3.13672515674307e-05
0.000219048436847215,1,5500,"68574",4,0.00016941681033159,0.000102997205161568
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,4.547760008911e-05
4.68683652787956e-05,1,5500,"68574",8,0,1.9028218323977e-05
5.70658034239697e-05,1,5500,"68574",1,0,2.97010178120005e-05
6.39119266211649e-05,1,5500,"68574",2,0,3.05854823423138e-05
5.86554994161671e-05,1,5500,"68574",3,0,1.90570340959393e-05
0.000119137622387138,1,5500,"68574",4,6.58367389723723e-05,3.18354285111436e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
4.98131012873059e-05,1,5500,"68574",7,0,2.28267537283106e-05
0.000153576172473674,1,5500,"68574",8,0,5.32487334601086e-05
NaN,1,5500,"68574",1,0,8.86742752125382e-06
NaN,1,5500,"68574",2,0,7.81870282078672e-06
NaN,1,5500,"68574",3,0,7.98203472664387e-06
9.58843749551031e-05,1,5500,"68574",4,5.83343426669555e-05,2.28517583497527e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.32898507283124e-05
NaN,1,5500,"68574",8,0,1.08809510581877e-05
NaN,1,5500,"68574",1,0,1.57772853913305e-05
NaN,1,5500,"68574",2,0,2.02045259722547e-05
NaN,1,5500,"68574",3,0,1.82368965346046e-05
8.89229701990682e-05,1,5500,"68574",4,8.01925117497358e-05,2.26775481190904e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.67677828352943e-05
NaN,1,5500,"68574",8,0,1.2141923810107e-05
3.50691129833068e-05,1,5500,"68574",1,0,1.09706933371782e-05
NaN,1,5500,"68574",2,0,1.29333065520655e-05
NaN,1,5500,"68574",3,0,1.46670295552586e-05
NaN,1,5500,"68574",4,5.95611450767626e-05,2.86268474474695e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
2.03648571445368e-05,1,5500,"68574",7,0,1.10967702421164e-05
9.12658721703912e-05,1,5500,"68574",8,0,2.97052203229312e-05
NaN,1,5500,"68574",1,0,8.47846469998145e-06
2.25004017146924e-05,1,5500,"68574",2,0,9.03573673062124e-06
NaN,1,5500,"68574",3,0,1.26342326479717e-05
NaN,1,5500,"68574",4,4.90541311024451e-05,2.69061013120104e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
1.48638782990901e-05,1,5500,"68574",7,0,1.0181033582162e-05
2.22997903671801e-05,1,5500,"68574",8,0,1.0295533105449e-05
NaN,1,5500,"68574",1,0,6.11227985088911e-06
1.46372016298526e-05,1,5500,"68574",2,0,7.18463455993921e-06
2.50883605015546e-05,1,5500,"68574",3,0,1.08281910035748e-05
8.98444167044794e-05,1,5500,"68574",4,4.88369045521367e-05,2.47518816656327e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,2.46282509858406e-05
NaN,1,5500,"68574",8,0,1.46485905573984e-05
NaN,1,5500,"68574",1,0,2.62626805658067e-05
NaN,1,5500,"68574",2,0,2.1944273311613e-05
NaN,1,5500,"68574",3,0,2.94965653125477e-05
6.47465590736419e-05,1,5500,"68574",4,5.13850996600234e-05,2.29012290346484e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.90207169439068e-05
NaN,1,5500,"68574",8,0,1.61250139372765e-05
NaN,1,5500,"68574",1,0,1.4513230127969e-05
4.39858029197887e-05,1,5500,"68574",2,0,1.11918886420193e-05
5.09460422513826e-05,1,5500,"68574",3,0,1.08149590829461e-05
0.000209167565676973,1,5500,"68574",4,4.86091541680597e-05,0.000106722481019136
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
8.83413569272571e-05,1,5500,"68574",7,0,3.07200219305324e-05
7.95826015889488e-05,1,5500,"68574",8,0,2.42686482695781e-05
NaN,1,5500,"68574",1,0,3.14668891990169e-05
NaN,1,5500,"68574",2,0,3.00522171666311e-05
NaN,1,5500,"68574",3,0,2.75043763154932e-05
NaN,1,5500,"68574",4,6.81904327187005e-05,3.90762392887332e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,3.1935570634416e-05
NaN,1,5500,"68574",8,0,1.33234563264455e-05
6.0769669271634e-05,1,5500,"68574",1,0,2.15673819196776e-05
NaN,1,5500,"68574",2,0,3.02270591230577e-05
NaN,1,5500,"68574",3,0,2.73825370462247e-05
9.16540334750046e-05,1,5500,"68574",4,7.34516164096638e-05,3.20588021364143e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,3.41952077520783e-05
NaN,1,5500,"68574",8,0,2.46584367386679e-05
NaN,1,5500,"68574",1,0,1.06936017058943e-05
NaN,1,5500,"68574",2,0,1.35842814192216e-05
NaN,1,5500,"68574",3,0,1.24463059129078e-05
NaN,1,5500,"68574",4,6.61009377345533e-05,2.77885915742186e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,7.45654930519235e-06
NaN,1,5500,"68574",8,0,6.15426238983924e-06
5.70600507393194e-05,1,5500,"68574",1,0,1.75107605040139e-05
8.92902122939592e-05,1,5500,"68574",2,0,2.74310277767135e-05
0.000104647484994355,1,5500,"68574",3,0,3.45884730832675e-05
0.000168507194622315,1,5500,"68574",4,0.000122646016171483,7.01397032547504e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
0.00010570548095014,1,5500,"68574",7,0,3.64163996089666e-05
3.47867020219132e-05,1,5500,"68574",8,0,1.45002545346565e-05
NaN,1,5500,"68574",1,0,1.7810704319282e-05
NaN,1,5500,"68574",2,0,1.6675595381024e-05
NaN,1,5500,"68574",3,0,1.8863451076986e-05
8.28416908000879e-05,1,5500,"68574",4,6.38762356237104e-05,2.42909268972399e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.8713215282606e-05
NaN,1,5500,"68574",8,0,7.64313833154013e-05
NaN,1,5500,"68574",1,0,8.49215800610598e-06
NaN,1,5500,"68574",2,0,8.81758929992988e-06
NaN,1,5500,"68574",3,0,1.16547800373282e-05
NaN,1,5500,"68574",4,5.98147001864771e-05,2.54987397030108e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.9101137312172e-05
NaN,1,5500,"68574",8,0,1.55652605811181e-05
4.06997655125872e-05,1,5500,"68574",1,0,1.44259550946528e-05
5.28429185618526e-05,1,5500,"68574",2,0,1.85971248012914e-05
6.93025010310325e-05,1,5500,"68574",3,0,2.19771395840194e-05
6.84351017061978e-05,1,5500,"68574",4,3.82912712139876e-05,3.42819758550001e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
9.48026002468051e-05,1,5500,"68574",7,0,3.02901281868431e-05
2.41766322835683e-05,1,5500,"68574",8,0,8.65731137777242e-06
NaN,1,5500,"68574",1,0,8.67886845710785e-06
NaN,1,5500,"68574",2,0,1.15165202053826e-05
NaN,1,5500,"68574",3,0,1.26556750145853e-05
NaN,1,5500,"68574",4,6.32852083373554e-05,2.47066302104282e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
1.76470395410564e-05,1,5500,"68574",7,0,1.05621444801889e-05
2.51219683979822e-05,1,5500,"68574",8,0,9.78996674535279e-06
1.97611347292083e-05,1,5500,"68574",1,0,1.23901479459298e-05
3.4139923552079e-05,1,5500,"68574",2,0,1.59718285040525e-05
2.31331832330212e-05,1,5500,"68574",3,0,2.01645946802304e-05
7.21011695456242e-05,1,5500,"68574",4,6.55156666319262e-05,3.5001502559405e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
5.91045391054492e-05,1,5500,"68574",7,0,3.21621946517963e-05
NaN,1,5500,"68574",8,0,3.16599228705154e-05
2.42052592397996e-05,1,5500,"68574",1,0,8.89042161078182e-06
1.92065983216981e-05,1,5500,"68574",2,0,2.18900801197613e-05
3.985765448942e-05,1,5500,"68574",3,0,3.40343566120007e-05
0.000111981529597664,1,5500,"68574",4,0.00010262595779314,4.3196089913009e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,5.06155230303741e-05
NaN,1,5500,"68574",8,0,2.60349543510923e-05
NaN,1,5500,"68574",1,0,4.82407768903658e-06
NaN,1,5500,"68574",2,0,5.49085362688829e-06
NaN,1,5500,"68574",3,0,6.58002262270121e-06
NaN,1,5500,"68574",4,6.66212926410446e-05,2.01231743095485e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.30354149035405e-05
NaN,1,5500,"68574",8,0,7.01322036004046e-06
NaN,1,5500,"68574",1,0,6.27844242193557e-06
NaN,1,5500,"68574",2,0,6.5192543414568e-06
NaN,1,5500,"68574",3,0,8.67388224936733e-06
NaN,1,5500,"68574",4,6.52538951865255e-05,2.55672642779764e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,8.44775387189867e-06
NaN,1,5500,"68574",8,0,5.17219546370274e-06
6.61345635453639e-05,1,5500,"68574",1,0,3.37658829244226e-05
8.43621713342946e-05,1,5500,"68574",2,0,3.038890275514e-05
0.000106835451722168,1,5500,"68574",3,0,3.63681490217621e-05
0.000199871597382724,1,5500,"68574",4,0.000184934456292142,8.15033830938032e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
9.1727278580329e-05,1,5500,"68574",7,0,3.91627547475523e-05
9.54749426725169e-05,1,5500,"68574",8,0,3.78601695644359e-05
NaN,1,5500,"68574",1,0,1.25735486443533e-05
NaN,1,5500,"68574",2,0,1.74669242499777e-05
NaN,1,5500,"68574",3,0,1.45858008809059e-05
NaN,1,5500,"68574",4,5.77462532726302e-05,3.11055753350837e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.27436956981029e-05
NaN,1,5500,"68574",8,0,1.44028821414705e-05
NaN,1,5500,"68574",1,0,7.49170433536408e-06
3.12158822600295e-05,1,5500,"68574",2,0,1.33402898160252e-05
5.13559280703637e-05,1,5500,"68574",3,0,2.38490630066649e-05
9.85049225407771e-05,1,5500,"68574",4,9.52202013643999e-05,3.71001161136228e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.98098845088856e-05
NaN,1,5500,"68574",8,0,8.63100369000684e-06
NaN,1,5500,"68574",1,0,9.36385954665508e-06
NaN,1,5500,"68574",2,0,1.07227615823603e-05
NaN,1,5500,"68574",3,0,9.22382172346012e-06
7.51732834690272e-05,1,5500,"68574",4,7.08013728242249e-05,2.35812179817366e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.34845677318572e-05
NaN,1,5500,"68574",8,0,1.48669213712293e-05
NaN,1,5500,"68574",1,0,1.05295435221321e-05
2.04036576361842e-05,1,5500,"68574",2,0,1.60157461162846e-05
3.53403094807921e-05,1,5500,"68574",3,0,1.87330347292716e-05
9.30713365392454e-05,1,5500,"68574",4,7.13101591668377e-05,3.37655429524819e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
3.00733582583745e-05,1,5500,"68574",7,0,1.91162487366572e-05
2.11223559105885e-05,1,5500,"68574",8,0,1.37896793153775e-05
NaN,1,5500,"68574",1,0,1.57838280086527e-05
NaN,1,5500,"68574",2,0,1.45255631955165e-05
5.81749252859882e-05,1,5500,"68574",3,0,1.59965486870761e-05
NaN,1,5500,"68574",4,6.57896310712142e-05,2.53911932433006e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
5.69960334097251e-05,1,5500,"68574",7,0,3.28568785327519e-05
4.0759453937472e-05,1,5500,"68574",8,0,2.44619741119887e-05
1.67241996748496e-05,1,5500,"68574",1,0,9.11808669340969e-06
NaN,1,5500,"68574",2,0,7.57014956518645e-06
2.68585741920219e-05,1,5500,"68574",3,0,8.87085405693871e-06
8.4040325591789e-05,1,5500,"68574",4,6.92276122457515e-05,2.26729369363831e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.10814126154982e-05
5.84380125707208e-05,1,5500,"68574",8,0,3.10641139225066e-05
5.43744477481861e-05,1,5500,"68574",1,0,2.13522493776607e-05
6.38969894501248e-05,1,5500,"68574",2,0,2.00963283758685e-05
7.28260704426701e-05,1,5500,"68574",3,0,2.48154820930865e-05
0.000187078701805778,1,5500,"68574",4,0.000160555990070277,8.7702970358038e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
4.58937691449923e-05,1,5500,"68574",7,0,1.3312620191581e-05
5.86541546451936e-05,1,5500,"68574",8,0,3.40138874118763e-05
NaN,1,5500,"68574",1,0,9.7748612204727e-06
NaN,1,5500,"68574",2,0,1.32748423987658e-05
NaN,1,5500,"68574",3,0,1.1911854542051e-05
NaN,1,5500,"68574",4,6.64195950352678e-05,2.87133796465974e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.02494568786365e-05
NaN,1,5500,"68574",8,0,1.29903537679416e-05
NaN,1,5500,"68574",1,0,5.62006531485699e-06
NaN,1,5500,"68574",2,0,7.92306420284512e-06
NaN,1,5500,"68574",3,0,1.13509522510964e-05
NaN,1,5500,"68574",4,6.69407532855033e-05,2.72351645106116e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,7.94041876095108e-06
NaN,1,5500,"68574",8,0,5.57014233007244e-06
2.8510044274473e-05,1,5500,"68574",1,0,1.44963117454693e-05
4.45177284409774e-05,1,5500,"68574",2,0,2.0485641651603e-05
5.43506987376809e-05,1,5500,"68574",3,0,1.84580236531777e-05
NaN,1,5500,"68574",4,0.000149369770535491,6.2982745219699e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
5.87784510005118e-05,1,5500,"68574",7,0,2.59467754064724e-05
4.32672338986041e-05,1,5500,"68574",8,0,1.4700547581643e-05
NaN,1,5500,"68574",1,0,1.14792015878058e-05
NaN,1,5500,"68574",2,0,1.13854089869827e-05
NaN,1,5500,"68574",3,0,2.05095911390484e-05
0.000179637786349377,1,5500,"68574",4,0.000162902578096685,7.97464497598382e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
2.8013467089052e-05,1,5500,"68574",7,0,2.42694171551651e-05
2.45268222800346e-05,1,5500,"68574",8,0,4.27168623377074e-05
NaN,1,5500,"68574",1,0,1.23120372420389e-05
NaN,1,5500,"68574",2,0,1.15228604174111e-05
NaN,1,5500,"68574",3,0,1.18008449173079e-05
9.30730762108003e-05,1,5500,"68574",4,6.43469201246799e-05,2.58626843060755e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.66308307194882e-05
NaN,1,5500,"68574",8,0,1.08342284615266e-05
NaN,1,5500,"68574",1,0,4.5667743984402e-06
NaN,1,5500,"68574",2,0,5.48999859609732e-06
NaN,1,5500,"68574",3,0,8.72501179302182e-06
NaN,1,5500,"68574",4,8.94312213983601e-05,3.4238578308598e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.15894136931755e-05
NaN,1,5500,"68574",8,0,6.8083249288146e-06
NaN,1,5500,"68574",1,0,1.11318586351347e-05
NaN,1,5500,"68574",2,0,1.57159508621655e-05
NaN,1,5500,"68574",3,0,1.70906296434076e-05
NaN,1,5500,"68574",4,6.66233965494604e-05,2.83477882456196e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.5536622811203e-05
NaN,1,5500,"68574",8,0,1.20003337507832e-05
8.50456912911221e-05,1,5500,"68574",1,0,4.17635471486907e-05
9.2104707936282e-05,1,5500,"68574",2,0,5.02077446023337e-05
7.13825861271322e-05,1,5500,"68574",3,0,4.88540410862843e-05
0.000178366257336918,1,5500,"68574",4,0.000111780190784355,0.000101403784999813
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
0.000172738027631766,1,5500,"68574",7,0,9.73477747707049e-05
0.00010485731944623,1,5500,"68574",8,0,5.19366911809603e-05
NaN,1,5500,"68574",1,0,7.36334694683858e-06
NaN,1,5500,"68574",2,0,7.29489546874096e-06
2.19419395063043e-05,1,5500,"68574",3,0,8.6638492548441e-06
9.26187876653044e-05,1,5500,"68574",4,5.07007009456101e-05,2.40340200894196e-05
NaN,1,5500,"68574",5,NaN,0
